date,compound,neg,neu,pos
2012-10-08,0.4003,0.0,0.788,0.212
2012-10-11,0.0,0.0,1.0,0.0
2012-10-22,0.0,0.0,1.0,0.0
2012-10-28,1.9647999999999999,0.0,4.284,0.7160000000000001
2012-11-03,0.0,0.0,2.0,0.0
2012-11-06,0.4926,0.0,0.758,0.242
2012-11-07,0.0,0.0,1.0,0.0
2012-11-12,0.6249,0.0,0.423,0.577
2012-11-13,0.6696,0.0,0.667,0.333
2012-11-16,0.9779,0.0,1.3940000000000001,0.6060000000000001
2012-11-19,0.6989,0.0,0.757,0.243
2012-11-20,-0.5617000000000001,0.6539999999999999,3.865,0.481
2012-11-21,0.7717,0.0,1.6760000000000002,0.324
2012-11-22,0.9329,0.0,1.501,0.499
2012-11-23,0.7783,0.0,1.541,0.459
2012-11-24,0.0,0.0,1.0,0.0
2012-11-25,0.0,0.0,1.0,0.0
2012-11-27,0.6302000000000001,0.149,2.491,0.361
2012-11-28,0.6474,0.0,0.799,0.201
2012-11-29,0.4926,0.0,0.385,0.615
2012-12-02,0.2481,0.0,0.858,0.142
2012-12-04,0.8834,0.0,0.608,0.392
2012-12-05,0.3182,0.139,0.594,0.267
2012-12-09,0.5707,0.0,1.837,0.163
2012-12-11,0.75,0.0,0.758,0.242
2012-12-12,1.3554,0.512,5.2490000000000006,1.2389999999999999
2012-12-14,-0.4653,0.616,3.993,0.391
2012-12-17,0.5994,0.0,0.738,0.262
2012-12-19,1.6609,0.0,1.28,0.72
2012-12-24,-0.296,0.306,3.694,0.0
2012-12-25,1.1796,0.0,0.996,1.004
2012-12-29,-0.6886000000000001,0.407,1.354,0.238
2013-01-04,0.8365,0.0,1.737,0.263
2013-01-10,0.9819,0.069,1.587,0.344
2013-01-15,0.3612,0.0,0.737,0.263
2013-01-18,0.8625,0.0,0.65,0.35
2013-01-26,0.6597,0.0,0.769,0.231
2013-01-30,0.0,0.0,1.0,0.0
2013-02-04,0.8120999999999999,0.368,1.269,1.363
2013-02-08,-0.507,0.209,2.686,0.105
2013-02-09,-0.1759,0.131,0.77,0.1
2013-02-10,0.0,0.0,1.0,0.0
2013-02-11,2.7293,0.179,4.675,1.147
2013-02-14,0.0,0.0,1.0,0.0
2013-02-15,0.6808,0.071,1.635,0.294
2013-02-16,-0.3818,0.11,0.89,0.0
2013-02-18,0.8591,0.0,0.276,0.724
2013-02-19,0.69,0.0,0.738,0.262
2013-02-23,0.807,0.0,0.672,0.328
2013-02-25,0.9132,0.0,0.486,0.514
2013-02-26,0.5423,0.103,0.644,0.253
2013-02-27,0.356,0.20400000000000001,2.474,0.323
2013-03-01,5.596900000000001,0.5559999999999999,11.107,3.337
2013-03-02,0.0,0.0,1.0,0.0
2013-03-06,0.3612,0.0,0.884,0.116
2013-03-08,2.4549,0.533,6.287,2.1799999999999997
2013-03-09,-0.8207,0.526,1.474,0.0
2013-03-10,0.0,0.0,1.0,0.0
2013-03-17,0.35700000000000004,0.208,1.123,0.669
2013-03-19,0.4215,0.0,0.641,0.359
2013-03-20,0.802,0.0,2.6470000000000002,0.353
2013-03-23,4.2551,0.325,6.412999999999999,2.262
2013-03-24,0.296,0.0,1.312,0.688
2013-03-25,-0.19379999999999997,0.507,1.3439999999999999,0.149
2013-03-26,0.7576,0.381,4.874999999999999,0.743
2013-03-29,-0.04250000000000004,0.138,2.734,0.128
2013-03-30,0.9228000000000001,0.432,1.9729999999999999,0.595
2013-03-31,1.3764,0.0,1.475,0.525
2013-04-01,3.0479000000000003,0.128,2.183,1.688
2013-04-02,2.5575,0.158,6.763,1.0790000000000002
2013-04-03,0.6249,0.0,1.631,0.369
2013-04-08,-0.10210000000000008,0.33299999999999996,3.324,0.343
2013-04-09,1.8385999999999998,0.9460000000000001,6.473,1.58
2013-04-10,1.2721,0.0,1.605,0.395
2013-04-11,1.5435999999999999,0.276,4.702999999999999,1.021
2013-04-13,0.7096,0.0,0.566,0.434
2013-04-17,0.9213,0.0,1.596,0.404
2013-04-18,0.4019,0.0,1.881,0.119
2013-04-21,0.8398,0.0,0.556,0.444
2013-04-22,1.1857,0.0,2.318,0.6819999999999999
2013-04-23,1.6291000000000002,0.221,5.678,2.101
2013-04-24,0.41300000000000003,0.122,1.536,0.342
2013-04-25,2.176,0.0,3.612,1.388
2013-04-26,-0.10180000000000003,0.116,1.7349999999999999,0.149
2013-04-28,-0.6597,0.265,0.735,0.0
2013-04-30,0.5707,0.0,1.6840000000000002,0.316
2013-05-01,1.6264,0.099,3.205,1.696
2013-05-02,0.6662,0.352,5.149,0.498
2013-05-03,5.5634999999999994,0.7639999999999999,9.306000000000001,2.9290000000000003
2013-05-04,1.9736,0.052,2.6839999999999997,1.264
2013-05-05,1.8651,0.0,2.959,1.041
2013-05-06,1.2469999999999999,0.0,2.448,0.5519999999999999
2013-05-07,0.01749999999999996,0.192,4.495,0.312
2013-05-08,1.1295,0.0,1.173,0.827
2013-05-09,0.7935,0.0,3.576,0.42400000000000004
2013-05-12,2.4924999999999997,1.009,8.001000000000001,1.9899999999999998
2013-05-13,1.622,0.0,4.418,0.582
2013-05-14,0.6249,0.0,1.746,0.254
2013-05-15,0.0,0.0,1.0,0.0
2013-05-18,0.6705,0.0,1.645,0.355
2013-05-19,-0.20849999999999996,0.328,1.425,0.247
2013-05-20,0.5106,0.0,1.842,0.158
2013-05-22,0.0,0.0,1.0,0.0
2013-05-23,-0.3336,0.23,2.649,0.12
2013-05-24,-1.0001,0.8280000000000001,4.696,0.476
2013-05-25,6.640200000000001,3.3049999999999997,24.833,4.8629999999999995
2013-05-26,0.2081,0.216,1.444,0.33999999999999997
2013-05-30,0.6486,0.0,1.725,0.275
2013-06-03,0.5342,0.13,3.563,0.307
2013-06-05,0.0,0.0,1.0,0.0
2013-06-06,-0.6382,0.5369999999999999,3.146,0.317
2013-06-08,0.8413999999999999,0.0,1.004,0.996
2013-06-10,-0.34,0.13,0.87,0.0
2013-06-12,0.6651,0.0,1.7650000000000001,0.23500000000000001
2013-06-18,0.1154,0.0,3.943,0.057
2013-06-19,0.0,0.0,1.0,0.0
2013-06-20,0.0,0.0,1.0,0.0
2013-06-21,-0.6369,0.215,1.7850000000000001,0.0
2013-06-24,0.0,0.0,1.0,0.0
2013-06-25,0.3774,0.0,2.8810000000000002,0.119
2013-06-28,1.4506000000000001,0.101,1.608,1.291
2013-06-29,0.0,0.0,1.0,0.0
2013-06-30,0.6115,0.0,0.8,0.2
2013-07-02,0.795,0.0,0.664,0.336
2013-07-06,0.0,0.0,1.0,0.0
2013-07-09,1.0539,0.0,1.44,0.56
2013-07-10,1.0354,0.0,1.64,0.36
2013-07-15,0.8962,0.5469999999999999,3.792,0.6599999999999999
2013-07-23,0.5562,0.0,0.777,0.223
2013-07-24,-0.0516,0.182,0.676,0.142
2013-07-28,0.0,0.0,1.0,0.0
2013-08-01,0.0,0.0,1.0,0.0
2013-08-07,0.0,0.0,1.0,0.0
2013-08-12,0.5873,0.0,2.789,0.211
2013-08-14,-0.1027,0.091,0.909,0.0
2013-08-16,0.0,0.0,1.0,0.0
2013-08-20,0.7906,0.0,0.65,0.35
2013-08-23,1.6699,0.14400000000000002,3.029,0.8270000000000001
2013-08-24,0.4926,0.0,0.803,0.197
2013-09-04,0.1531,0.118,0.735,0.147
2013-09-05,0.4939,0.0,1.833,0.167
2013-09-06,0.0,0.0,1.0,0.0
2013-09-07,-0.34,0.091,0.909,0.0
2013-09-10,0.433,0.153,2.5010000000000003,0.345
2013-09-13,0.3541,0.113,0.705,0.182
2013-09-15,0.7251,0.078,0.648,0.275
2013-09-18,0.536,0.0,2.6870000000000003,0.313
2013-09-19,0.765,0.0,1.752,0.248
2013-09-20,0.9799,0.124,1.37,0.507
2013-09-25,1.4003999999999999,0.0,1.2879999999999998,0.712
2013-09-26,0.0,0.0,1.0,0.0
2013-09-27,0.0,0.0,1.0,0.0
2013-09-29,3.1210999999999998,0.0,4.5489999999999995,1.451
2013-10-04,-0.34,0.324,0.676,0.0
2013-10-12,0.4588,0.0,0.824,0.176
2013-10-26,0.0,0.0,1.0,0.0
2013-10-30,0.5562,0.0,0.784,0.216
2013-11-02,0.7568,0.0,0.667,0.333
2013-11-10,-0.4767,0.307,0.693,0.0
2013-11-12,0.0,0.0,1.0,0.0
2013-11-14,-0.4404,0.169,0.751,0.08
2013-11-19,-1.852,0.871,2.83,0.298
2013-11-21,0.4404,0.0,0.838,0.162
2013-11-23,1.2618999999999998,0.058,3.457,0.485
2013-11-24,0.4404,0.0,0.847,0.153
2013-11-26,0.8617,0.076,0.483,0.441
2013-11-28,3.1460999999999997,0.877,8.649,2.4739999999999998
2013-11-29,0.0,0.0,1.0,0.0
2013-11-30,0.9107,0.0,1.645,0.355
2013-12-02,0.9557,0.09,3.459,0.45000000000000007
2013-12-03,3.7045,0.124,5.947,2.9290000000000003
2013-12-04,0.0,0.0,1.0,0.0
2013-12-05,0.7777,0.173,2.138,0.688
2013-12-10,-0.6114,0.571,0.429,0.0
2013-12-19,0.4588,0.0,1.625,0.375
2013-12-21,0.7397,0.0,1.113,0.887
2013-12-22,0.8316,0.0,0.605,0.395
2013-12-25,0.5848,0.0,0.513,0.487
2013-12-26,0.5256,0.0,0.773,0.227
2014-01-06,1.3704999999999998,0.0,1.169,0.831
2014-01-07,-0.2732,0.231,0.769,0.0
2014-01-23,0.0,0.0,1.0,0.0
2014-01-26,0.5562,0.0,2.841,0.159
2014-01-30,0.4389,0.0,0.792,0.208
2014-02-02,-0.3802,0.173,0.715,0.113
2014-02-07,0.743,0.0,0.64,0.36
2014-02-09,1.6854,0.0,1.1640000000000001,0.8360000000000001
2014-02-11,0.0258,0.0,0.939,0.061
2014-02-14,0.5093,0.0,0.549,0.451
2014-02-24,0.0,0.0,2.0,0.0
2014-02-25,0.4404,0.0,1.8279999999999998,0.172
2014-03-05,0.6597,0.0,0.722,0.278
2014-03-07,0.8461,0.0,0.304,0.696
2014-03-10,0.7845,0.0,0.622,0.378
2014-03-11,-0.038500000000000034,0.182,1.656,0.162
2014-03-14,2.4978999999999996,0.198,4.4559999999999995,1.3479999999999999
2014-03-17,-0.7579,0.317,0.683,0.0
2014-03-19,0.2732,0.0,0.323,0.677
2014-03-25,0.0,0.0,1.0,0.0
2014-03-31,0.3382,0.086,2.753,0.161
2014-04-01,0.0,0.0,1.0,0.0
2014-04-05,1.0282,0.0,3.505,0.495
2014-04-07,2.1629,0.448,4.875,1.6760000000000002
2014-04-08,0.1027,0.092,2.798,0.109
2014-04-17,0.7783,0.0,0.657,0.343
2014-04-18,3.5326000000000004,0.205,7.393,1.4029999999999998
2014-04-19,0.4668,0.107,1.625,0.268
2014-04-24,0.6808,0.0,1.588,0.412
2014-04-26,0.3818,0.091,0.714,0.195
2014-04-29,1.1183999999999998,0.197,4.307,1.496
2014-05-02,0.0,0.0,2.0,0.0
2014-05-08,-0.1531,0.161,0.714,0.125
2014-05-10,0.5411,0.0,0.71,0.29
2014-05-14,0.7506,0.0,1.439,0.561
2014-05-22,0.7845,0.0,0.592,0.408
2014-05-23,0.8531,0.138,7.349,0.513
2014-05-24,1.3587,0.073,1.406,0.521
2014-05-25,0.8687,0.0,0.648,0.352
2014-05-29,0.3596,0.213,1.5950000000000002,0.192
2014-05-31,0.0,0.0,1.0,0.0
2014-06-04,-0.631,0.206,0.794,0.0
2014-06-11,0.3182,0.159,0.561,0.28
2014-06-12,0.3653,0.164,1.619,0.217
2014-06-17,0.25,0.0,2.867,0.133
2014-06-19,0.4404,0.0,0.828,0.172
2014-07-01,0.2023,0.0,0.847,0.153
2014-07-10,0.1779,0.0,1.866,0.134
2014-07-14,0.3986,0.241,2.356,0.402
2014-07-19,-0.0258,0.215,0.579,0.207
2014-07-23,0.0,0.0,1.0,0.0
2014-07-26,0.0,0.0,1.0,0.0
2014-08-03,3.0307,0.378,3.846,1.776
2014-08-05,1.3689,0.0,3.402,0.598
2014-08-15,0.6751,0.0,2.678,0.322
2014-08-19,0.0,0.0,1.0,0.0
2014-08-23,0.1857,0.08,1.803,0.117
2014-08-25,1.5815000000000001,0.0,3.4210000000000003,0.579
2014-09-01,0.101,0.0,0.742,0.258
2014-09-07,-0.2846,0.2,3.653,0.147
2014-09-08,0.5719,0.0,1.778,0.222
2014-09-09,0.6542,0.138,1.626,0.236
2014-09-10,0.0,0.0,1.0,0.0
2014-09-11,0.0,0.0,1.0,0.0
2014-09-16,1.7872,0.0,2.06,0.94
2014-09-20,1.15,0.0,1.145,0.855
2014-09-29,0.1531,0.0,0.882,0.118
2014-10-02,0.8149,0.087,1.5979999999999999,0.314
2014-10-09,0.0,0.0,1.0,0.0
2014-10-11,0.0,0.0,1.0,0.0
2014-10-16,0.0,0.0,1.0,0.0
2014-10-17,0.0,0.0,1.0,0.0
2014-10-18,0.0,0.0,1.0,0.0
2014-10-26,0.0,0.0,1.0,0.0
2014-10-28,1.5983999999999998,0.086,2.26,0.654
2014-10-31,0.3612,0.0,0.828,0.172
2014-11-04,0.0,0.0,1.0,0.0
2014-11-07,0.34,0.0,0.769,0.231
2014-11-11,0.6142000000000001,0.222,1.348,0.43
2014-11-18,0.0,0.0,1.0,0.0
2014-11-19,-0.22650000000000003,0.312,1.427,0.261
2014-11-21,0.2023,0.149,1.655,0.196
2014-11-22,0.10859999999999997,0.1,3.754,0.146
2014-11-23,0.08810000000000001,0.269,2.4269999999999996,0.304
2014-11-24,0.5093,0.0,0.708,0.292
2014-12-08,1.3704,0.0,1.1280000000000001,0.872
2014-12-19,-0.0635,0.363,3.213,0.424
2014-12-20,0.1759,0.101,1.766,0.134
2014-12-25,0.5848,0.0,0.826,0.174
2014-12-26,0.6846,0.077,1.626,0.297
2014-12-30,0.0,0.0,1.0,0.0
2014-12-31,0.4767,0.0,0.843,0.157
2015-01-05,0.6808,0.0,1.663,0.337
2015-01-06,0.2023,0.104,2.755,0.142
2015-01-10,2.5402,0.28700000000000003,9.193000000000001,1.52
2015-01-11,0.7717,0.0,0.565,0.435
2015-01-12,0.4588,0.0,0.824,0.176
2015-01-15,1.1457,0.098,3.359,0.543
2015-01-16,0.28319999999999995,0.316,5.286,0.399
2015-01-17,0.0,0.0,1.0,0.0
2015-01-20,0.0,0.0,1.0,0.0
2015-01-23,2.0116,0.0,3.572,1.428
2015-01-26,0.6277,0.0,4.687,0.313
2015-01-28,0.34,0.144,0.638,0.218
2015-01-29,0.26890000000000003,0.273,4.285,0.442
2015-01-30,0.3182,0.0,0.85,0.15
2015-02-08,0.5762999999999999,0.355,3.1790000000000003,0.468
2015-02-10,0.8017,0.065,2.6029999999999998,0.33099999999999996
2015-02-11,2.5723000000000003,0.058,6.957000000000001,0.9850000000000001
2015-02-12,0.0,0.0,1.0,0.0
2015-02-24,0.6369,0.0,0.792,0.208
2015-02-26,0.8653,0.0,0.452,0.548
2015-03-02,0.3669,0.123,2.5869999999999997,0.29
2015-03-07,0.0,0.0,1.0,0.0
2015-03-08,-0.296,0.104,0.896,0.0
2015-03-11,-0.2263,0.106,0.894,0.0
2015-03-12,0.5628,0.32899999999999996,2.213,0.45899999999999996
2015-03-13,0.6376,0.189,2.549,0.262
2015-03-14,0.4767,0.0,0.78,0.22
2015-03-15,0.0,0.0,1.0,0.0
2015-03-16,-0.2554,0.181,1.639,0.181
2015-03-17,2.1006,0.0,2.21,0.79
2015-03-18,0.6696,0.0,0.718,0.282
2015-03-21,0.5219,0.179,3.492,0.329
2015-03-22,0.5859,0.0,0.759,0.241
2015-03-23,-0.0414,0.172,1.67,0.158
2015-03-24,-0.3020999999999999,0.481,3.0879999999999996,0.431
2015-03-30,0.0,0.0,1.0,0.0
2015-03-31,0.7412000000000001,0.0,1.659,0.341
2015-04-01,0.5859,0.0,0.568,0.432
2015-04-04,-0.4588,0.273,0.727,0.0
2015-04-06,1.0065,0.29300000000000004,2.065,0.642
2015-04-09,0.0,0.0,1.0,0.0
2015-04-11,1.1308,0.0,3.653,0.347
2015-04-12,0.4926,0.0,0.239,0.761
2015-04-13,1.1499,0.31299999999999994,2.9989999999999997,0.687
2015-04-14,0.4869,0.089,2.594,0.317
2015-04-15,-0.42769999999999997,0.357,3.363,0.27999999999999997
2015-04-18,0.7198,0.069,1.63,0.301
2015-04-19,1.1597,0.0,1.129,0.871
2015-04-23,0.4215,0.0,0.851,0.149
2015-04-27,1.1888999999999998,0.127,1.271,0.6020000000000001
2015-04-29,0.4404,0.0,0.838,0.162
2015-04-30,0.8779,0.0,0.09,0.91
2015-05-01,0.6947,0.0,1.772,0.22799999999999998
2015-05-02,0.0,0.0,1.0,0.0
2015-05-03,0.8200000000000001,0.0,1.6640000000000001,0.33599999999999997
2015-05-04,0.4927,0.0,0.775,0.225
2015-05-05,-0.6597,0.403,0.597,0.0
2015-05-06,0.2023,0.0,2.893,0.107
2015-05-12,1.0802999999999998,0.21300000000000002,4.742,1.045
2015-05-19,0.0,0.0,2.0,0.0
2015-05-22,1.0773000000000001,0.0,2.637,0.363
2015-05-27,0.34,0.0,0.806,0.194
2015-06-01,0.7906,0.0,0.652,0.348
2015-06-12,0.4926,0.122,0.639,0.239
2015-06-15,1.2128,0.0,1.649,0.351
2015-06-19,0.8398,0.0,0.625,0.375
2015-06-23,0.4939,0.0,0.769,0.231
2015-06-27,2.7551,0.0,4.592,1.408
2015-06-28,0.6125,0.584,3.602,1.814
2015-06-29,0.0,0.0,1.0,0.0
2015-07-06,0.0258,0.0,0.952,0.048
2015-07-17,0.0,0.0,1.0,0.0
2015-07-18,-0.3612,0.2,0.8,0.0
2015-07-27,0.0,0.0,1.0,0.0
2015-07-28,-0.31950000000000006,0.279,1.56,0.161
2015-07-30,1.2022,0.0,0.638,1.362
2015-07-31,0.47309999999999997,0.09,4.946999999999999,0.963
2015-08-06,-0.022,0.224,0.559,0.217
2015-08-08,0.0,0.0,1.0,0.0
2015-08-16,0.6249,0.0,0.594,0.406
2015-08-17,0.0,0.0,1.0,0.0
2015-08-22,1.1154,0.0,1.601,0.399
2015-09-02,0.1531,0.293,4.825,0.8819999999999999
2015-09-12,0.4926,0.0,1.2389999999999999,0.761
2015-09-13,0.4588,0.0,0.85,0.15
2015-09-14,1.3167,0.0,2.611,0.389
2015-09-23,0.7783,0.0,1.306,0.694
2015-09-25,0.6369,0.0,0.682,0.318
2015-09-27,0.6249,0.0,0.594,0.406
2015-09-29,0.4588,0.0,1.8239999999999998,0.176
2015-09-30,-0.3535,0.133,0.867,0.0
2015-10-02,2.4127,0.0,7.002,0.998
2015-10-03,0.6369,0.0,0.574,0.426
2015-10-09,1.5125,0.077,3.038,0.885
2015-10-10,0.0,0.0,2.0,0.0
2015-10-11,0.5597000000000001,0.326,8.447,1.227
2015-10-14,0.6808,0.0,1.616,0.384
2015-10-15,1.2854999999999999,0.0,1.702,1.298
2015-10-17,1.2966,0.0,1.267,0.733
2015-10-19,0.7906,0.0,0.652,0.348
2015-10-21,2.8893,0.366,9.586,2.048
2015-10-22,1.1311,0.0,2.276,0.724
2015-10-23,1.9091,0.127,3.151,0.722
2015-10-25,2.4158999999999997,0.252,5.59,1.1569999999999998
2015-10-26,1.2077,0.056,1.631,1.312
2015-10-27,0.765,0.0,0.612,0.388
2015-10-29,-0.031000000000000028,0.137,1.512,0.351
2015-10-30,0.8478,0.0,0.196,0.804
2015-11-01,0.0,0.0,1.0,0.0
2015-11-02,0.3382,0.0,0.556,0.444
2015-11-04,0.0,0.0,1.0,0.0
2015-11-08,0.4574,0.0,0.401,0.599
2015-11-20,1.5919,0.508,4.2139999999999995,1.278
2015-11-24,2.6176,0.192,6.313000000000001,1.495
2015-12-02,0.0,0.0,1.0,0.0
2015-12-03,0.4404,0.0,0.756,0.244
2015-12-04,0.4753,0.0,0.721,0.279
2015-12-06,0.8807,0.0,0.329,0.671
2015-12-09,0.5859,0.0,0.0,1.0
2015-12-10,0.4263,0.112,1.404,0.484
2015-12-11,0.0,0.0,1.0,0.0
2015-12-17,0.0,0.0,1.0,0.0
2015-12-18,1.0619999999999998,0.819,9.259,0.9199999999999999
2015-12-19,1.2627000000000002,0.223,3.0909999999999997,0.685
2015-12-20,0.743,0.0,0.751,0.249
2015-12-21,0.4588,0.0,0.875,0.125
2015-12-22,2.134,0.0,5.8839999999999995,2.116
2016-01-01,0.4075,0.117,0.633,0.25
2016-01-02,0.0772,0.119,0.741,0.141
2016-01-10,0.2057,0.0,2.93,0.07
2016-01-11,-0.4404,0.383,0.4,0.217
2016-01-12,1.1496,0.0,1.5230000000000001,0.477
2016-01-16,0.0644,0.091,1.804,0.105
2016-01-17,2.395,0.33699999999999997,8.726,0.938
2016-01-18,0.4404,0.0,1.508,0.492
2016-01-19,0.9246,0.0,0.599,0.401
2016-01-20,0.0,0.0,1.0,0.0
2016-01-23,0.4019,0.0,0.426,0.574
2016-02-03,-0.128,0.222,0.617,0.16
2016-02-05,-0.296,0.155,0.845,0.0
2016-02-10,0.6369,0.0,1.5430000000000001,0.457
2016-02-11,0.32,0.32199999999999995,4.256,1.422
2016-02-16,1.3974,0.0,2.318,0.682
2016-02-17,0.4019,0.0,0.426,0.574
2016-02-18,1.2986,0.179,2.604,1.217
2016-02-19,1.0269,0.0,1.6669999999999998,1.333
2016-02-20,0.0,0.0,1.0,0.0
2016-02-21,0.4682,0.139,2.464,0.39699999999999996
2016-02-23,0.0,0.0,1.0,0.0
2016-02-24,0.8402,0.0,1.654,0.346
