date,compound,neg,neu,pos
2014-11-13,0.0,0.0,1.0,0.0
2014-11-17,0.1628,0.216,1.355,0.429
2014-11-18,0.4588,0.0,0.571,0.429
2014-11-25,0.0,0.0,1.0,0.0
2014-11-26,0.4588,0.0,0.625,0.375
2014-12-05,0.6249,0.0,0.579,0.421
2014-12-08,0.0,0.0,1.0,0.0
2014-12-10,0.5423,0.0,0.4,0.6
2014-12-11,0.1027,0.191,0.588,0.221
2014-12-13,-0.3818,0.394,0.606,0.0
2014-12-16,-0.3182,0.256,0.598,0.145
2014-12-19,0.34,0.0,0.625,0.375
2014-12-22,0.0,0.0,1.0,0.0
2014-12-24,0.0,0.0,1.0,0.0
2015-01-05,0.0,0.3,1.325,0.375
2015-01-06,0.5423,0.0,0.4,0.6
2015-01-14,0.4588,0.0,0.75,0.25
2015-01-15,0.0,0.0,1.0,0.0
2015-01-27,0.0,0.0,1.0,0.0
2015-01-28,0.3818,0.0,2.729,0.271
2015-02-07,0.0,0.0,1.0,0.0
2015-02-18,-0.2263,0.241,0.759,0.0
2015-02-19,0.34,0.0,0.714,0.286
2015-02-24,0.2023,0.0,0.816,0.184
2015-03-02,0.4588,0.0,0.571,0.429
2015-03-04,0.0,0.0,1.0,0.0
2015-03-07,0.0,0.0,1.0,0.0
2015-03-13,0.7096,0.0,0.543,0.457
2015-03-16,-0.2263,0.174,0.826,0.0
2015-03-17,0.4019,0.0,0.649,0.351
2015-03-18,0.0,0.231,0.538,0.231
2015-03-20,0.2023,0.0,0.816,0.184
2015-03-24,0.296,0.0,0.82,0.18
2015-03-25,1.0957,0.0,1.333,0.667
2015-03-26,0.0,0.0,2.0,0.0
2015-04-01,0.0,0.0,1.0,0.0
2015-04-02,0.0,0.0,1.0,0.0
2015-04-07,-0.8271,0.562,0.438,0.0
2015-04-11,0.3818,0.142,0.608,0.25
2015-04-17,0.0,0.0,1.0,0.0
2015-04-18,0.7964,0.0,0.468,0.532
2015-04-20,-0.0258,0.148,0.71,0.142
2015-04-21,0.0,0.0,1.0,0.0
2015-04-22,1.0057,0.393,3.87,0.7370000000000001
2015-04-23,0.5849,0.125,0.486,0.389
2015-04-27,1.2425,0.0,2.444,0.556
2015-04-28,-0.5267,0.423,0.577,0.0
2015-04-30,0.0,0.0,1.0,0.0
2015-05-01,0.34,0.0,1.862,0.138
2015-05-06,0.4588,0.0,0.786,0.214
